origin,target,horizon,pred,actual,variant
2017-06-07,2017-06-12,5,3807.8782409752384,3636.0,off
2017-06-07,2017-06-13,6,3805.4523676384565,3911.0,off
2017-06-07,2017-06-14,7,3725.7981355585307,4119.0,off
2017-06-14,2017-06-15,1,3926.55692377095,3852.0,off
2017-06-14,2017-06-16,2,4104.835304908667,3884.0,off
2017-06-14,2017-06-17,3,4543.591067602534,4188.0,off
2017-06-14,2017-06-18,4,4144.221386512156,3728.0,off
2017-06-14,2017-06-19,5,3822.539102597027,3493.0,off
2017-06-14,2017-06-20,6,3814.202695250874,3608.0,off
2017-06-14,2017-06-21,7,3803.266835522405,4103.0,off
2017-06-15,2017-06-16,1,4108.563996128872,3884.0,off
2017-06-15,2017-06-17,2,4540.147300421831,4188.0,off
2017-06-15,2017-06-18,3,4185.126735053022,3728.0,off
2017-06-15,2017-06-19,4,3729.094723227675,3493.0,off
2017-06-15,2017-06-20,5,3706.170538079733,3608.0,off
2017-06-15,2017-06-21,6,3905.8167853873733,4103.0,off
2017-06-15,2017-06-22,7,3890.093527203742,3880.0,off
2017-07-13,2017-07-14,1,4059.2622005624744,4137.0,off
2017-07-13,2017-07-15,2,4602.961200688674,4315.0,off
2017-07-13,2017-07-16,3,4268.108197847261,4304.0,off
2017-07-13,2017-07-17,4,3677.665543933456,3551.0,off
2017-07-13,2017-07-18,5,3715.1511161189187,3594.0,off
2017-07-13,2017-07-19,6,3852.1187146533216,3834.0,off
2017-07-13,2017-07-20,7,3823.308470491399,3984.0,off
2017-09-13,2017-09-14,1,4042.8129034325475,4543.0,off
2017-09-13,2017-09-15,2,4082.6365560812255,4289.0,off
2017-09-13,2017-09-16,3,4365.228319040363,4835.0,off
2017-09-13,2017-09-17,4,4071.4642936246023,4501.0,off
2017-09-13,2017-09-18,5,3847.3758847033637,3833.0,off
2017-09-13,2017-09-19,6,3957.527296778935,3766.0,off
2017-09-13,2017-09-20,7,3944.0702805591586,4029.0,off
2017-09-20,2017-09-21,1,4029.127505527962,4241.0,off
2017-09-20,2017-09-22,2,4113.354057371575,4113.0,off
2017-09-20,2017-09-23,3,4262.147553469112,4610.0,off
2017-09-20,2017-09-24,4,3981.9177080786817,4053.0,off
2017-09-20,2017-09-25,5,3595.961841424011,3915.0,off
2017-09-20,2017-09-26,6,3745.8001318034894,3730.0,off
