,min_mult_offset,min_mult_value
2016,-1.0,0.49471520111580214
2017,-1.0,0.4901111656770391
2018,-1.0,0.393109537695472
2019,-1.0,0.5193410577476978
2023,-1.0,0.9651545036160422
2024,-1.0,0.46619075493907014
2025,-1.0,0.45812004915308596
2026,-1.0,0.4831937153690601
