,calendar,capacity,holiday_flag,holiday_yoy,mainland_block,recency_aggregate,regime,short_lag,yearly_lookback
calendar,0.1566910596823292,0.06445902132510103,0.04258645091379031,0.08587742004174412,0.14909595463821618,0.055523158086125374,0.06461046934424163,0.08292768887126803,0.07563494604523974
capacity,0.06445902132510102,0.33080540862937324,0.017413065132526384,0.37478312406729714,0.029683256092324434,0.5005936416950896,0.4467331283514793,0.5981441927703395,0.3725593007285511
holiday_flag,0.04258645091379031,0.017413065132526384,0.03526170938471853,0.06230640209158335,0.056458972527131,0.015121202778301741,0.016792889106717602,0.01968513791559429,0.017473270818132446
holiday_yoy,0.0858774200417441,0.37478312406729714,0.06230640209158335,0.38047092295369084,0.16154875427787427,0.3343591309226681,0.48547813830283526,0.40319005475867015,0.3352628112547936
mainland_block,0.14909595463821618,0.02968325609232444,0.056458972527131,0.16154875427787427,0.5714092719465476,0.02508049712461555,0.010667434372813006,0.0714265761883726,0.09942882010263693
recency_aggregate,0.05552315808612537,0.5005936416950897,0.015121202778301741,0.3343591309226681,0.025080497124615547,0.5509743566802969,0.5267641776339195,0.6395654135487616,0.36504625058174056
regime,0.06461046934424163,0.4467331283514793,0.016792889106717602,0.48547813830283526,0.010667434372813006,0.5267641776339195,,0.6020323684227606,0.473647532666264
short_lag,0.08292768887126804,0.5981441927703395,0.01968513791559429,0.40319005475867015,0.0714265761883726,0.6395654135487616,0.6020323684227606,0.7471499459067765,0.4356655445433704
yearly_lookback,0.07563494604523975,0.3725593007285511,0.01747327081813245,0.3352628112547937,0.09942882010263694,0.36504625058174056,0.473647532666264,0.4356655445433704,0.3949153922008554
