holiday,n_clean_years,cv_per_table,cv_raw,min_year_mult,max_year_mult,verdict
Christmas,7,0.041850971424712856,0.0419896916027559,0.969041515687349,1.1221368108689802,consistent
DragonBoat,7,0.046188675955367305,0.04160861822193659,0.9162157230462641,1.0358060048892124,consistent
Easter,8,0.06570837451061613,0.06560468003299535,0.9468922300752843,1.144655162316747,consistent
GoldenWeek,7,0.07239251134622257,0.05439124174270829,0.9358392639223811,1.1949173881261586,consistent
Labour,8,0.07470374196791321,0.06910844019002861,0.9320689137289107,1.1956823926976292,consistent
ChingMing,8,0.07968917306103208,0.08308646752115004,0.8128498691946325,1.0773820954358742,consistent
MidAutumn,7,0.09662208061402688,0.11164110335681497,0.7493681079025655,1.0360854058102296,consistent
CNY,8,0.28544687327108653,0.28258468317446045,0.849322933684074,1.761511676041591,variable
NewYear,8,0.42827959820999184,0.40341093574815273,0.848799480856587,2.6996069340858693,variable
