dow,demand_mean,demand_std,demand_cv,demand_min,demand_max,demand_per_table_mean,demand_per_table_std,demand_per_table_cv,demand_per_table_min,demand_per_table_max,n
0,3937.1613445378152,1961.6238062098191,0.49823302490035365,0,7545,15.495118477335113,7.434282011289612,0.4797821986429998,0.0,27.878947368421052,595
1,3975.5747899159664,2022.8771761364433,0.5088263416066188,0,7766,15.635560954738837,7.628139994855078,0.4878712069836635,0.0,28.13768115942029,595
2,4054.594957983193,2095.1784714547025,0.5167417444076512,0,8769,15.999255414957359,7.892616810261175,0.49331150766444654,0.0,29.826839826839826,595
3,4130.447986577181,2097.337620596419,0.507774853336052,0,8575,16.2568241758139,7.954083300836808,0.4892765779352218,0.0,31.246753246753247,596
4,4357.870588235294,2171.0865311287444,0.4981989453725194,0,8785,17.142439525113762,8.240374522712763,0.4807002241799116,0.0,30.714814814814815,595
5,4674.636974789916,2291.1325282336306,0.49011988323148814,0,8675,18.39809412271043,8.715298262322229,0.4737065809204742,0.0,32.011070110701105,595
6,4288.766386554622,2111.1492284681112,0.4922509267668696,0,8012,16.84877987790962,7.99373771739037,0.474440153845854,0.0,29.674074074074074,595
