_month,per_month_std
1,0.13321127626721613
2,0.11388467886114252
3,0.0973763983650052
4,0.05158204450958564
5,0.07328154056262749
6,0.026965415097687382
7,0.054717923350646853
8,0.05291870679144871
9,0.051897611003430495
10,0.08764647993741097
11,0.11364929081235228
12,0.12281549470223532
