target_date,horizon,y,lag_365,is_hol,lgbm_l2,lgbm_q,xgb,cat,lgbm_bag,v3_2stage,dow,ridge,enet,xtrees,rf
2026-05-01,1,8653.0,8349.0,1,7881.369678484874,7615.577381584791,7226.823,7429.784531722927,7924.584953900016,7952.826001782604,4,8069.585481017435,7919.1989641664495,8014.163447163367,7869.294145779858
2026-05-02,1,8249.0,8293.0,1,7940.176780557403,7939.216468801825,7894.3228,7661.095069908255,7890.666624174623,7943.069301447644,5,8415.055035395346,7956.4627876204095,7890.057266511438,7701.874932589255
2026-05-03,1,7780.0,8042.0,1,7420.067256595585,7478.821703491121,7322.6646,7359.268953945055,7368.972567035465,7411.9322036793665,6,7327.38829907447,7415.155985250028,7484.870020027929,7380.613508167773
2026-05-04,1,7153.0,7302.0,1,6752.53646999414,6676.607615732276,6644.923,6532.132893168396,6785.430826325631,6781.544546979171,0,7066.041906984953,7057.781735146308,6745.489588558315,6574.98249868571
2026-05-05,1,6694.0,6521.0,1,6703.918632440523,6768.587625727168,6675.103,6560.396816520676,6694.619165125954,6721.846249616416,1,7122.268141349647,7133.551032912957,6571.321966262549,6664.060397404921
2026-05-06,1,6063.0,5434.0,0,6285.586541242752,6855.289193730165,6679.235,6880.114724734159,6536.716804156152,6285.586541242752,2,6749.430464572817,7011.539762498014,6625.616984218039,6800.44810242865
2026-05-07,1,6236.0,5558.0,0,6550.888075817251,6918.359000579768,6936.959,7033.866309985198,6712.032023799934,6550.888075817251,3,6978.225816747158,7064.4775770848755,6713.22913264046,6908.945361085903
2026-05-08,1,6738.0,5714.0,0,6210.010332298536,6669.6079084952125,6655.651,6697.241732836514,6361.277396698846,6210.010332298536,4,6869.173684929611,7163.504832965337,6800.433534549807,6543.686842702475
2026-05-09,1,7120.0,6367.0,0,6703.1579248779535,7017.539351879842,6942.843,7060.150208340357,6798.7775600082905,6703.1579248779535,5,7094.361640858402,7317.258012421644,7029.2855724020565,7056.7085080540255
2026-05-10,1,6714.0,7017.0,0,6922.698808902893,7091.677791646351,7003.3257,7002.327111890641,7026.845869700793,6922.698808902893,6,7224.992600369075,7143.67134324817,7091.5485163418625,7063.629601341228
