lead_days,mape_all,mape_cny,mape_ex_cny,n_all,n_cny
1,0.03773046418982729,0.061644675138256264,0.033873333391693586,72,10
3,0.05220702655364305,0.13935806907653375,0.038150406791886485,72,10
7,0.0516652963234,0.11435823204536011,0.0415535324972774,72,10
14,0.08255854240533494,0.22461506347837928,0.05964620029677943,72,10
21,0.06413589670259204,0.19230107722869244,0.043464093391930705,72,10
28,0.06493591748393138,0.1978187673469188,0.04350319976409469,72,10
