lead,all,cny,ex
1,3.7110468693599983,7.166974931034174,3.153639117477067
3,4.974764789884483,13.088602888858642,3.6660812255338118
7,4.91951118690869,11.067253178446546,3.9279398979509703
14,6.249211080536219,14.723159292991026,4.882445239817703
21,5.858314545142234,15.720633697922331,4.2676179075970575
28,5.833312430958118,16.281589463193775,4.148106458016885
