lead_days,mape_all,mape_cny,mape_ex_cny,n_all,n_cny
1,0.031814634066915926,0.06694641290262186,0.028620835990942655,72,6
3,0.04289024804732021,0.0885982886189133,0.03873497163172084,72,6
7,0.041187512073278205,0.07277304487720683,0.03831610000019378,72,6
14,0.048626938156734585,0.06580201988521743,0.047065567090508874,72,6
21,0.045763748823122716,0.07780971220556367,0.042850479424719,72,6
28,0.05191368723724712,0.08294863631095778,0.049092328230546156,72,6
